Model,Seed,Max Steps,Train Success Count,Train Success Rate,Final100 Train Success,Final Sample Success,Final Argmax Success,Final Sample Return,Final Argmax Return,Final Sample Length,Final Argmax Length,Reward Signal Episodes,Best Checkpoint
Vanilla FuN,1,250,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,250.000000,250.000000,0,checkpoints/multiroom_n4s5_maxsteps_sweep/baseline_ms250_seed_1/best.pt
Vanilla FuN,1,500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500.000000,500.000000,0,checkpoints/multiroom_n4s5_maxsteps_sweep/baseline_ms500_seed_1/best.pt
Vanilla FuN,1,750,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,750.000000,750.000000,0,checkpoints/multiroom_n4s5_maxsteps_sweep/baseline_ms750_seed_1/best.pt
AblationManager,1,250,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,250.000000,250.000000,0,checkpoints/multiroom_n4s5_maxsteps_sweep/ablation_ms250_seed_1/best.pt
AblationManager,1,500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500.000000,500.000000,0,checkpoints/multiroom_n4s5_maxsteps_sweep/ablation_ms500_seed_1/best.pt
AblationManager,1,750,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,750.000000,750.000000,0,checkpoints/multiroom_n4s5_maxsteps_sweep/ablation_ms750_seed_1/best.pt
