model_type,seed,action_mode,episode_id,step,success,episode_length,goal_delta_l2,goal_cosine_prev,action_prob_kl_from_prev,top1_action_changed_on_goal_update,entropy_after_update,top1_prob_after_update
baseline,1,sample,26,20,True,52,0.2693120837211609,0.9920585639631173,0.08768929541110992,False,1.2080090045928955,0.6329982280731201
baseline,1,sample,26,30,True,52,0.21268875896930695,0.9946758266078045,1.2517324648797512e-05,False,1.5226240158081055,0.45873165130615234
baseline,1,sample,26,40,True,52,0.34481140971183777,0.9877222622256191,2.042546272277832,True,1.1727871894836426,0.6820515394210815
baseline,1,sample,26,50,True,52,0.4700486660003662,0.993726789074855,1.8648686818778515e-05,False,1.256462812423706,0.5755306482315063
baseline,1,sample,27,10,True,29,0.41607362031936646,0.9916500859250865,2.3198156356811523,True,1.5242993831634521,0.4783383905887604
baseline,1,sample,27,20,True,29,0.25260090827941895,0.9931712204179017,1.8028607368469238,True,1.1381034851074219,0.6997796297073364
baseline,1,sample,28,10,True,26,0.45101338624954224,0.9843638848055556,2.416473627090454,True,1.1082255840301514,0.7067877054214478
baseline,1,sample,28,20,True,26,0.5257974863052368,0.9754114301699667,1.382729172706604,True,1.1092777252197266,0.6671525239944458
baseline,1,sample,29,10,True,49,0.5095086097717285,0.9805195084523856,1.149031400680542,True,1.3102954626083374,0.6149067282676697
baseline,1,sample,29,20,True,49,0.2577041983604431,0.9963448612685519,2.035156011581421,True,1.3764067888259888,0.5899601578712463
baseline,1,sample,29,30,True,49,0.22259777784347534,0.9948436387514079,3.555702278390527e-05,False,1.3800513744354248,0.5465339422225952
baseline,1,sample,29,40,True,49,0.26440975069999695,0.9927154486262277,8.02292488515377e-05,False,1.406140685081482,0.5381255745887756
baseline,1,sample,30,10,True,51,0.469783753156662,0.9888903482313617,0.0014942223206162453,False,1.8055567741394043,0.2601860761642456
baseline,1,sample,30,20,True,51,0.19040560722351074,0.9963340628224954,2.0008795261383057,True,1.5531810522079468,0.47535744309425354
baseline,1,sample,30,30,True,51,0.47698095440864563,0.9724486178131774,1.141207218170166,True,1.3621511459350586,0.5577075481414795
baseline,1,sample,30,40,True,51,0.25845059752464294,0.9952503947070389,3.0361348763108253e-05,False,1.2154250144958496,0.6214929223060608
baseline,1,sample,30,50,True,51,0.5180865526199341,0.9930587401114986,6.168498657643795e-05,False,1.2860738039016724,0.5571342706680298
baseline,1,sample,31,10,True,37,0.3976581394672394,0.9806038716576788,0.06105813756585121,False,1.4293262958526611,0.5051441788673401
baseline,1,sample,31,20,True,37,0.45332273840904236,0.9788481036798217,1.3550204038619995,True,1.0919872522354126,0.6770278811454773
baseline,1,sample,31,30,True,37,0.7724379897117615,0.9657985684435388,0.16599063575267792,False,1.5863001346588135,0.44964009523391724
baseline,1,sample,32,10,True,24,0.5109359622001648,0.9822540264123668,0.9586954116821289,True,1.357649803161621,0.59715735912323
baseline,1,sample,32,20,True,24,0.5032039284706116,0.9854970803607924,1.3893439769744873,True,1.0634949207305908,0.6870784163475037
baseline,1,sample,33,10,True,20,0.4804430305957794,0.9733752778987278,0.0001664450392127037,False,1.3357893228530884,0.5645356774330139
baseline,1,sample,34,10,True,35,0.4225446283817291,0.985274889817232,0.0002040923573076725,False,1.3833688497543335,0.5870576500892639
baseline,1,sample,34,20,True,35,0.26641517877578735,0.994845043269829,0.8941928148269653,True,1.2508740425109863,0.6254338622093201
baseline,1,sample,34,30,True,35,0.26823318004608154,0.9943140619696119,1.401427149772644,True,1.1675907373428345,0.64422607421875
baseline,1,sample,35,10,True,34,0.33693933486938477,0.9880282812976287,0.005052494816482067,False,1.4594175815582275,0.5100067853927612
baseline,1,sample,35,20,True,34,0.41093674302101135,0.9788489840032812,0.7670855522155762,True,1.6399235725402832,0.4008350968360901
baseline,1,sample,35,30,True,34,0.45864078402519226,0.992267518619804,0.023925619199872017,False,1.1720407009124756,0.6387482285499573
baseline,1,sample,36,10,True,57,0.22903744876384735,0.992756289340928,0.07150514423847198,True,1.8439223766326904,0.2625441253185272
baseline,1,sample,36,20,True,57,0.1516120582818985,0.9962632423123091,0.06826543062925339,True,1.698366403579712,0.38489094376564026
baseline,1,sample,36,30,True,57,0.42363452911376953,0.9833433783365382,6.957235746085644e-05,False,1.5482805967330933,0.4529470205307007
baseline,1,sample,36,40,True,57,0.2025211751461029,0.9965607926267709,0.031895481050014496,False,1.3864104747772217,0.5278376936912537
baseline,1,sample,36,50,True,57,0.1738666146993637,0.9972952353702464,1.7557293176651,True,1.6281709671020508,0.46455395221710205
baseline,1,sample,37,10,True,26,0.34526947140693665,0.989561800959498,0.7230411767959595,True,1.2330342531204224,0.6639631390571594
baseline,1,sample,37,20,True,26,0.3400026857852936,0.9892213407799129,0.013584714382886887,False,1.3771116733551025,0.5304685831069946
baseline,1,sample,38,10,True,36,0.39981913566589355,0.9839001573418663,0.004638712853193283,False,1.3977066278457642,0.5330935120582581
baseline,1,sample,38,20,True,36,0.23551903665065765,0.9940581933082079,0.6554285287857056,True,1.2504867315292358,0.6567145586013794
baseline,1,sample,38,30,True,36,0.48389461636543274,0.9913160197598215,0.0005663083866238594,False,1.5885355472564697,0.4482434093952179
baseline,1,sample,39,10,True,129,0.34458911418914795,0.9945776445968256,5.398341454565525e-05,False,1.2783266305923462,0.6173017024993896
baseline,1,sample,39,20,True,129,0.3709072470664978,0.9896656707633787,0.015709714964032173,False,1.6996948719024658,0.3806869685649872
baseline,1,sample,39,30,True,129,0.4112655818462372,0.9873702714282993,0.00128276739269495,False,1.8087208271026611,0.27389946579933167
baseline,1,sample,39,40,True,129,0.15880198776721954,0.9962837272391143,0.00011409353464841843,False,1.709852695465088,0.38245317339897156
baseline,1,sample,39,50,True,129,0.14934249222278595,0.9963847281974307,8.727703243494034e-05,False,1.7457606792449951,0.3459715247154236
baseline,1,sample,39,60,True,129,0.13334344327449799,0.9979515016640221,0.08932790160179138,True,1.7198699712753296,0.3814527690410614
baseline,1,sample,39,70,True,129,0.11134432256221771,0.9981852112245434,0.055620044469833374,False,1.7234982252120972,0.38138169050216675
baseline,1,sample,39,80,True,129,0.18717800080776215,0.9935526074971873,0.00011973129585385323,False,1.7963851690292358,0.3332655429840088
baseline,1,sample,39,90,True,129,0.19684745371341705,0.9935383117233252,0.0003450736403465271,False,1.7273590564727783,0.3797759711742401
baseline,1,sample,39,100,True,129,0.1386282742023468,0.9962479313816542,1.2109754607081413e-05,False,1.6510043144226074,0.42580893635749817
baseline,1,sample,39,110,True,129,0.3761211037635803,0.9818545681993234,1.0441991090774536,True,1.3104426860809326,0.5813001990318298
baseline,1,sample,39,120,True,129,0.2553819417953491,0.9956042779253328,4.072568845003843e-05,False,1.342895746231079,0.5571744441986084
baseline,1,sample,40,10,True,36,0.27339810132980347,0.9918403545534775,4.9716560170054436e-05,False,1.2168831825256348,0.62894207239151
baseline,1,sample,40,20,True,36,0.23495140671730042,0.9964099538946286,0.33916136622428894,False,1.7982157468795776,0.26748308539390564
baseline,1,sample,40,30,True,36,0.36453068256378174,0.9866735911243525,8.25035385787487e-05,False,1.17521071434021,0.6811425685882568
baseline,1,sample,41,10,True,30,0.5692701935768127,0.9793232488137246,0.00014409516006708145,False,1.3896515369415283,0.5240887999534607
baseline,1,sample,41,20,True,30,0.28785866498947144,0.9932459974778681,1.0568029880523682,True,1.3296988010406494,0.6089978814125061
baseline,1,sample,42,10,True,40,0.3130026161670685,0.9873267037608284,0.00038786185905337334,False,1.7068445682525635,0.3721964359283447
baseline,1,sample,42,20,True,40,0.2382151037454605,0.9979564525663054,2.1096067428588867,True,1.1482969522476196,0.6921055316925049
baseline,1,sample,42,30,True,40,0.3368225395679474,0.9874492245153647,0.00017780927009880543,False,1.33951997756958,0.6044207215309143
baseline,1,sample,43,10,True,44,0.5198923945426941,0.9850913617756326,0.00025543849915266037,False,1.3843050003051758,0.5770931243896484
baseline,1,sample,43,20,True,44,0.2539733946323395,0.9961951862858184,2.752889633178711,True,1.3905506134033203,0.5575647354125977
baseline,1,sample,43,30,True,44,0.3921947777271271,0.9841945324343531,0.00016176048666238785,False,1.4164286851882935,0.5219584107398987
baseline,1,sample,43,40,True,44,0.22568483650684357,0.9980500300719274,9.89984255284071e-06,False,1.3938912153244019,0.5285817384719849
baseline,1,sample,44,10,True,29,0.3111060857772827,0.9935836784825611,1.0395982265472412,True,1.437877893447876,0.5629024505615234
baseline,1,sample,44,20,True,29,0.23823146522045135,0.9956798542316042,0.011482411995530128,False,1.3302749395370483,0.5588780641555786
baseline,1,sample,45,10,True,35,0.4334406554698944,0.9833207014939037,9.832112118601799e-05,False,1.3365099430084229,0.5558688044548035
baseline,1,sample,45,20,True,35,0.24851606786251068,0.9962491798128743,1.93776273727417,True,1.542276382446289,0.48353755474090576
baseline,1,sample,45,30,True,35,0.2790519595146179,0.9958424366419304,1.740467268973589e-05,False,1.1878516674041748,0.63486248254776
baseline,1,sample,46,10,True,26,0.45725345611572266,0.986373344065681,4.685297608375549e-05,False,1.389113426208496,0.5231816172599792
baseline,1,sample,46,20,True,26,0.6304500102996826,0.9830122923176525,0.1705532819032669,False,1.602239966392517,0.43877625465393066
baseline,1,sample,47,10,True,36,0.41459715366363525,0.9827521696136736,0.009400010108947754,False,1.3845610618591309,0.5351253151893616
baseline,1,sample,47,20,True,36,0.29732391238212585,0.992683719016793,0.023573782294988632,False,1.6754610538482666,0.32906991243362427
baseline,1,sample,47,30,True,36,0.22314254939556122,0.9957527686594453,0.022394567728042603,False,1.6894862651824951,0.31649839878082275
baseline,1,sample,48,10,True,26,0.5887486934661865,0.9644385107253002,0.00011747004464268684,False,1.2742514610290527,0.5945172905921936
baseline,1,sample,48,20,True,26,0.32385361194610596,0.9965735356848426,2.4066888727247715e-05,False,1.322402000427246,0.5639091730117798
baseline,1,sample,49,10,True,34,0.3992195725440979,0.9854315311765683,3.122330665588379,True,1.3781569004058838,0.5466341376304626
baseline,1,sample,49,20,True,34,0.2846143841743469,0.9929493320441946,0.958705484867096,True,1.254478096961975,0.6238824725151062
baseline,1,sample,49,30,True,34,0.264975368976593,0.9953793267393818,1.4414410591125488,True,1.024911642074585,0.7059083580970764
baseline,1,sample,50,10,True,30,0.5642575025558472,0.9528313496781753,0.00039057061076164246,False,1.5175273418426514,0.47532716393470764
baseline,1,sample,50,20,True,30,0.3560471534729004,0.9890837931098363,0.00017333589494228363,False,1.1784512996673584,0.6834239959716797
baseline,1,sample,51,10,True,45,0.315934956073761,0.9865450813917468,6.376358214765787e-05,False,1.5675978660583496,0.452485054731369
baseline,1,sample,51,20,True,45,0.24801106750965118,0.9946831265482602,2.8923735953867435e-05,False,1.3843916654586792,0.5446769595146179
baseline,1,sample,51,30,True,45,0.31072863936424255,0.9919943395227772,4.535143671091646e-05,False,1.2664415836334229,0.6200254559516907
baseline,1,sample,51,40,True,45,0.29348379373550415,0.9959354094512695,0.023070145398378372,False,1.173360824584961,0.6379469633102417
baseline,1,sample,52,10,True,50,0.39359062910079956,0.9836329077924904,0.003797953948378563,False,1.4394068717956543,0.5037506222724915
baseline,1,sample,52,20,True,50,0.2672616243362427,0.9900106184081756,0.00013100635260343552,False,1.6656516790390015,0.37013089656829834
baseline,1,sample,52,30,True,50,0.2805324196815491,0.9973153025551335,8.914107456803322e-05,False,1.4641351699829102,0.5152320861816406
baseline,1,sample,52,40,True,50,0.29302743077278137,0.9935264133171581,3.3511404991149902,True,1.2748758792877197,0.5889825820922852
baseline,1,sample,53,10,True,32,0.6074963212013245,0.9564906854684477,1.334131121635437,True,1.094087839126587,0.6760716438293457
baseline,1,sample,53,20,True,32,0.35978734493255615,0.9920500402273004,0.00012987898662686348,False,1.319221019744873,0.5895659327507019
baseline,1,sample,53,30,True,32,0.5800458192825317,0.9787800681544376,2.399163007736206,True,0.8778541684150696,0.7896791696548462
baseline,1,sample,54,10,True,27,0.3494497537612915,0.9924672591235522,4.9195485189557076e-05,False,1.388169527053833,0.5321007966995239
baseline,1,sample,54,20,True,27,0.3873054087162018,0.994557899582844,0.01221664808690548,False,1.1912212371826172,0.6333839297294617
baseline,1,sample,55,10,True,30,0.4046059548854828,0.9931072979226991,2.022271156311035,True,1.0481078624725342,0.7344868183135986
baseline,1,sample,55,20,True,30,0.31517788767814636,0.9873268583754463,0.02261940948665142,False,1.3773777484893799,0.5564125776290894
baseline,1,sample,56,10,True,42,0.38720300793647766,0.987806592546662,0.005475638434290886,False,1.4247946739196777,0.5183985829353333
baseline,1,sample,56,20,True,42,0.2727932631969452,0.9919733981679977,0.01362261176109314,False,1.560096025466919,0.43803805112838745
baseline,1,sample,56,30,True,42,0.3505341112613678,0.9877426285201607,5.5458047427237034e-05,False,1.128402590751648,0.6993259787559509
baseline,1,sample,56,40,True,42,0.3524184823036194,0.9946650641505422,2.206988573074341,True,1.8159520626068115,0.2284700572490692
baseline,1,sample,57,10,True,24,0.3279673755168915,0.9870667330636907,1.7999088764190674,True,1.1494364738464355,0.6948503255844116
baseline,1,sample,57,20,True,24,0.5711617469787598,0.9787695727268063,1.120928406715393,True,1.1665959358215332,0.640425980091095
baseline,1,sample,58,10,True,28,0.61282879114151,0.9618904150984946,1.3208953142166138,True,1.0855004787445068,0.6801080703735352
baseline,1,sample,58,20,True,28,0.22857366502285004,0.9948994839802852,0.03508420288562775,False,1.4299237728118896,0.5055609941482544
baseline,1,sample,59,10,True,25,0.5274657011032104,0.9638026629775499,0.890998363494873,True,1.423804759979248,0.5103260278701782
baseline,1,sample,59,20,True,25,0.5877061486244202,0.9937161753518823,1.2503176927566528,True,1.0509984493255615,0.6927270889282227
baseline,1,sample,60,10,True,41,0.4213772118091583,0.9786892732602316,9.922252502292395e-05,False,1.431134581565857,0.5085316300392151
baseline,1,sample,60,20,True,41,0.42540931701660156,0.9895508068986242,0.8905612826347351,True,1.2570011615753174,0.6223976016044617
baseline,1,sample,60,30,True,41,0.2108716368675232,0.9970239686937864,1.6890931874513626e-05,False,1.279201626777649,0.6165252923965454
baseline,1,sample,60,40,True,41,0.3642495572566986,0.9986015394235976,5.449995040893555,True,1.2965854406356812,0.5498952269554138
baseline,1,sample,61,10,True,31,0.5827717781066895,0.9579971250810747,1.2682154178619385,True,1.1858313083648682,0.636386513710022
baseline,1,sample,61,20,True,31,0.2865231931209564,0.997541420449876,0.014156077057123184,False,1.347198247909546,0.5463435053825378
baseline,1,sample,61,30,True,31,0.40914487838745117,0.9972826172842788,5.346688270568848,True,1.2817178964614868,0.5544536113739014
baseline,1,sample,62,10,True,44,0.3551931083202362,0.9834004051467543,1.2310162782669067,True,1.6271650791168213,0.4676746428012848
baseline,1,sample,62,20,True,44,0.38051706552505493,0.9899527476583682,0.004337535239756107,False,1.3563008308410645,0.554326593875885
baseline,1,sample,62,30,True,44,0.13477450609207153,0.9978858686510486,0.005489150062203407,False,1.4485865831375122,0.5151410102844238
baseline,1,sample,62,40,True,44,0.5395667552947998,0.9877729866124965,0.0004898710176348686,False,1.5842875242233276,0.4511222839355469
baseline,1,sample,63,10,True,39,0.361632376909256,0.9901894038913769,0.0004321085289120674,False,1.0763652324676514,0.7246743440628052
baseline,1,sample,63,20,True,39,0.27127188444137573,0.9923362538256051,0.006420129910111427,False,1.7832424640655518,0.2832235097885132
baseline,1,sample,63,30,True,39,0.36339443922042847,0.9890246354069275,0.015565399080514908,False,1.3610535860061646,0.5392116904258728
baseline,1,sample,64,10,True,26,0.4047868847846985,0.9890886702145908,1.973642349243164,True,0.926974892616272,0.776146411895752
baseline,1,sample,64,20,True,26,0.35879915952682495,0.9868946945309764,0.0002969623892568052,False,1.3521392345428467,0.6002005338668823
baseline,1,sample,65,10,True,28,0.3704070448875427,0.9845198954805252,8.038245141506195e-05,False,1.1284511089324951,0.7031394839286804
baseline,1,sample,65,20,True,28,0.40179526805877686,0.9840570336779814,7.489812560379505e-05,False,1.3470066785812378,0.5473300218582153
baseline,1,sample,66,10,True,28,0.23006777465343475,0.9955639700887743,1.3276240825653076,True,1.6652787923812866,0.4177255928516388
baseline,1,sample,66,20,True,28,0.5492351055145264,0.9728061678890019,1.1007239818572998,True,1.276555061340332,0.5941064953804016
baseline,1,sample,67,10,True,29,0.39422187209129333,0.9928240258536283,0.6952099204063416,True,1.2729837894439697,0.6474970579147339
baseline,1,sample,67,20,True,29,0.40442708134651184,0.9844242412666386,0.008004285395145416,False,1.373870849609375,0.5349125266075134
baseline,1,sample,68,10,True,29,0.5910470485687256,0.9638832713997738,1.146843433380127,True,1.286238670349121,0.5877045392990112
baseline,1,sample,68,20,True,29,0.8513307571411133,0.9735821214610655,2.6079635620117188,True,0.6910089254379272,0.8478536605834961
baseline,1,sample,69,10,True,44,0.40537509322166443,0.9827822431153362,0.0004366065841168165,False,1.450762152671814,0.5569711327552795
baseline,1,sample,69,20,True,44,0.3222038745880127,0.9891585493184281,5.757296457886696e-05,False,1.421025276184082,0.5101161003112793
baseline,1,sample,69,30,True,44,0.24690374732017517,0.993852339712728,2.9586031436920166,True,1.4190691709518433,0.5321885943412781
baseline,1,sample,69,40,True,44,0.32388415932655334,0.9956371786757131,0.013808593153953552,False,1.181403398513794,0.6378792524337769
baseline,1,sample,70,10,True,36,0.3015345633029938,0.9888863096773562,0.00017382251098752022,False,1.6808841228485107,0.4391883313655853
baseline,1,sample,70,20,True,36,0.371324747800827,0.9887193917861125,0.00016891234554350376,False,1.320613145828247,0.6117240190505981
baseline,1,sample,70,30,True,36,0.4646613597869873,0.9923984930310252,1.2021093368530273,True,1.2330751419067383,0.6083254218101501
