model_type,action_mode,mean_success,mean_return,mean_episode_length,mean_num_goal_updates,mean_goal_norm,mean_goal_delta_l2,mean_goal_cosine_prev,mean_policy_entropy,mean_top1_prob,mean_chosen_action_prob,mean_action_kl_on_goal_update,mean_top1_action_change_rate_on_goal_update
baseline,sample,0.9966666666666667,0.9642636666666667,39.336666666666666,4.3933333333333335,2.5271310659814574,0.04573042588180425,0.9987485417801653,1.3236333355572176,0.5714395159684132,0.3927653118459451,0.740591739020386,0.4185986898903566
baseline,argmax,1.0,0.982768,19.14666666666667,2.296666666666667,2.360689443886979,0.04730489155878654,0.9983846042307268,1.283521305736611,0.5908145367661746,0.5908145367661746,1.0175292892730794,0.5458333333333333
ablation,sample,0.9966666666666667,0.9652506666666667,38.24,4.283333333333333,1.8936363506460747,0.04458739095934178,0.9983279741031108,1.3226354786732897,0.5728727927283243,0.39776925305974736,0.7070877915450023,0.3915773915626857
ablation,argmax,1.0,0.9836440000000001,18.173333333333332,2.2266666666666666,1.8179052635501693,0.0401969836741928,0.998433444520463,1.2877844500417546,0.5898911749314528,0.5898911749314528,1.0328330092617155,0.5666666666666667
