episode,total_reward,episode_length,success,total_loss,worker_loss,value_loss,entropy_bonus,manager_loss,grad_norm,encoder_grad_norm,manager_grad_norm,worker_grad_norm,value_head_grad_norm,manager_value_head_grad_norm,returns_mean,returns_min,returns_max,advantages_mean,advantages_abs_mean,values_mean,value_min,value_max,manager_values_mean,manager_value_min,manager_value_max,log_prob_mean,log_prob_min,log_prob_max,entropy_mean,entropy_min,entropy_max,num_steps,action_min,action_max,action_coverage,action_histogram,reward_min,reward_max,nonzero_reward_steps,positive_reward_steps,nonzero_reward_fraction,nonzero_return_steps,nonzero_return_fraction,has_reward_signal,has_return_signal,num_goal_updates,final_hidden_norm,final_goal_norm,final_step_count,reward_moving_avg,success_moving_avg,loss_moving_avg
1,0.0,1000,False,-0.07612580060958862,-0.0577896311879158,0.0009068265790119767,1.942118525505066,0.006315971724689007,0.04561210051178932,0.02045752475549959,0.0037347791559404772,0.0006844222356418337,0.03475286660885062,0.020970806575336138,0.0,0.0,0.0,-0.02973182499408722,0.02973182499408722,0.02973182499408722,0.0181737020611763,0.04679223895072937,-0.0794655829668045,-0.08195766061544418,-0.07633359730243683,-1.9431589841842651,-2.1040549278259277,-1.7766493558883667,1.942118525505066,1.9414587020874023,1.9423580169677734,1000,0,6,1.0,"126,152,161,152,146,134,129",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.7357673645019531,0.35863620042800903,1000,0.0,0.0,-0.07612580060958862
2,0.0,1000,False,-0.02616879530251026,-0.007314568851143122,5.5887816415634006e-05,1.9422767162322998,0.005405953153967857,0.020492790266871452,0.003494194434089688,0.0034012662842729867,0.0005016765828401125,0.004426862952031673,0.019399165609043884,0.0,0.0,0.0,-0.003774306969717145,0.006525895092636347,0.003774306969717145,-0.018119730055332184,0.014032032340765,-0.07352135330438614,-0.07597296684980392,-0.07174856960773468,-1.943845510482788,-2.097475528717041,-1.77308189868927,1.9422767162322998,1.941719651222229,1.9425557851791382,1000,0,6,1.0,"136,138,168,135,142,153,128",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.7238408327102661,0.3491918444633484,1000,0.0,0.0,-0.05114729795604944
3,0.0,1000,False,0.015802958980202675,0.03456392511725426,0.00041891945875249803,1.9423434734344482,0.004530110862106085,0.0314473994076252,0.014066564821482727,0.0032099963501522407,0.0007572786233765481,0.021526172907042604,0.017799358535508025,0.0,0.0,0.0,0.017796631902456284,0.017796631902456284,-0.017796631902456284,-0.05289208143949509,-0.00158778578042984,-0.06729687005281448,-0.072513148188591,-0.06480104476213455,-1.9436933994293213,-2.107497453689575,-1.7708487510681152,1.9423434734344482,1.94171941280365,1.9426579475402832,1000,0,6,1.0,"139,153,168,139,132,142,127",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.79841148853302,0.37726643681526184,1000,0.0,0.0,-0.028830545643965404
4,0.0,1000,False,0.008048384450376034,0.026962369680404663,0.00023792704450897872,1.9424285888671875,0.00391337089240551,0.025811726227402687,0.010196476579604416,0.003023704938473699,0.0006956542536669392,0.01665891404228097,0.01658707368692293,0.0,0.0,0.0,0.013883953914046288,0.013883953914046288,-0.013883953914046288,-0.044606082141399384,-0.002848498523235321,-0.0625496357679367,-0.06888730823993683,-0.06023640185594559,-1.941756248474121,-2.0888779163360596,-1.77413010597229,1.9424285888671875,1.9418935775756836,1.9425936937332153,1000,0,6,1.0,"129,138,170,138,157,151,117",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.7805386185646057,0.3709927797317505,1000,0.0,0.0,-0.019610813120380044
5,0.0,1000,False,0.0006032556411810219,0.01963806338608265,0.0001354995765723288,1.9423577785491943,0.003210201859474182,0.021024983376264572,0.007355400341772983,0.0027871752002725913,0.0004222946176869581,0.012328945431275431,0.015099618481752002,0.0,0.0,0.0,0.010116529650986195,0.01012958213686943,-0.010116529650986195,-0.029428094625473022,0.0016740486025810242,-0.05663781985640526,-0.06454895436763763,-0.05354896932840347,-1.944663166999817,-2.0941147804260254,-1.7691142559051514,1.9423577785491943,1.941741704940796,1.9426774978637695,1000,0,6,1.0,"137,142,157,144,146,147,127",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.785146176815033,0.3672081232070923,1000,0.0,0.0,-0.01556799936806783
6,0.0,1000,False,-0.02134125307202339,-0.002199372975155711,1.5299830920412205e-05,1.94245445728302,0.0027501441072672606,0.014349380508065224,0.001335728773529161,0.0025460564812864617,0.00037597582561674876,0.0013468872183540533,0.013988663396972302,0.0,0.0,0.0,-0.0011294797295704484,0.0033114973921328783,0.0011294797295704484,-0.008789725601673126,0.008857645094394684,-0.052419960498809814,-0.06244523450732231,-0.05004729703068733,-1.943110466003418,-2.0941665172576904,-1.7758839130401611,1.94245445728302,1.9417731761932373,1.9428011178970337,1000,0,6,1.0,"144,133,157,153,165,131,117",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.8549127578735352,0.42871275544166565,1000,0.0,0.0,-0.01653020831872709
7,0.0,1000,False,-0.03082635998725891,-0.01164281740784645,4.692585935117677e-05,1.9424322843551636,0.002173191634938121,0.014923394657671452,0.0031950720280189675,0.0022795396145917435,0.000505175879930337,0.00717412060146193,0.012473159768122802,0.0,0.0,0.0,-0.006000155583024025,0.006101207807660103,0.006000155583024025,-0.0021794065833091736,0.013215690851211548,-0.04658361151814461,-0.05822988599538803,-0.04341030865907669,-1.9423948526382446,-2.0926997661590576,-1.7720524072647095,1.9424322843551636,1.9418904781341553,1.9428188800811768,1000,0,6,1.0,"126,142,174,150,140,128,140",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.8400049805641174,0.40613630414009094,1000,0.0,0.0,-0.018572515699945922
8,0.0,1000,False,-0.0365518257021904,-0.017335882410407066,9.649468120187521e-05,1.9424002170562744,0.0015981150791049004,0.016003020107746124,0.004411231483169364,0.002001288787419039,0.0007896233698694453,0.010783918107205205,0.01075714520741562,0.0,0.0,0.0,-0.00895281508564949,0.009049948304891586,0.00895281508564949,-0.005148924887180328,0.02069610357284546,-0.03991018235683441,-0.05441463738679886,-0.03591896593570709,-1.9385799169540405,-2.0990986824035645,-1.7712936401367188,1.9424002170562744,1.9417779445648193,1.942783236503601,1000,0,6,1.0,"151,146,183,155,134,115,116",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.8397752642631531,0.4226014316082001,1000,0.0,0.0,-0.020819929450226482
9,0.0,1000,False,-0.03578411787748337,-0.01652965322136879,8.826544944895431e-05,1.9424498081207275,0.0012589828111231327,0.014737065881490707,0.004203664942257799,0.001729935947496546,0.0007852430527930368,0.010218024158577917,0.009565198301368212,0.0,0.0,0.0,-0.008526231162250042,0.008834179490804672,0.008526231162250042,-0.004129916429519653,0.017303165048360825,-0.035395778715610504,-0.05203619226813316,-0.031347714364528656,-1.9367210865020752,-2.088226318359375,-1.773416519165039,1.9424498081207275,1.9417634010314941,1.9427980184555054,1000,0,6,1.0,"134,125,188,173,112,150,118",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.8882805109024048,0.4351120591163635,1000,0.0,0.0,-0.022482617053255025
10,0.0,1000,False,-0.03449913486838341,-0.015196082182228565,7.265750173246488e-05,1.9424844980239868,0.0008546335739083588,0.012952223420143127,0.003735906244870911,0.0014991499374675521,0.00042604555267955555,0.009414905374428482,0.007920460638290968,0.0,0.0,0.0,-0.007815815508365631,0.008017295971512794,0.007815815508365631,-0.0026512667536735535,0.013787750154733658,-0.029108872637152672,-0.047120027244091034,-0.023701921105384827,-1.943623661994934,-2.087681770324707,-1.7731419801712036,1.9424844980239868,1.9418256282806396,1.942894458770752,1000,0,6,1.0,"141,154,167,135,133,142,128",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.8566105961799622,0.41932493448257446,1000,0.0,0.0,-0.023684268834767864
11,0.0,1000,False,-0.026137810200452805,-0.006782917305827141,3.469102375674993e-05,1.9424657821655273,0.000524209754075855,0.007875349372625351,0.0019633036864433132,0.0011687146545362429,0.0006472136999005134,0.004206006653899152,0.006220232822627121,0.0,0.0,0.0,-0.003504627849906683,0.0052447388879954815,0.003504627849906683,-0.007144130766391754,0.011304579675197601,-0.0227102879434824,-0.041362516582012177,-0.018014192581176758,-1.9381219148635864,-2.081963300704956,-1.774751901626587,1.9424657821655273,1.9419013261795044,1.9427311420440674,1000,0,6,1.0,"134,124,173,189,144,120,116",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.903170108795166,0.4437118470668793,1000,0.0,0.0,-0.02390731804983013
12,0.0,1000,False,-0.015869079157710075,0.0035140470135957003,3.1324165320256725e-05,1.9424457550048828,0.000256687228102237,0.0052726985886693,0.0015562600506588648,0.000830705282219559,0.0004594157285863111,0.0024938484108729133,0.004273054268522566,0.0,0.0,0.0,0.0018124302150681615,0.004183436278253794,-0.0018124302150681615,-0.01554301381111145,0.009577028453350067,-0.01549674291163683,-0.0388399213552475,-0.010050855576992035,-1.9405323266983032,-2.0884416103363037,-1.76555335521698,1.9424457550048828,1.9417345523834229,1.9430161714553833,1000,0,6,1.0,"107,132,170,166,157,136,132",0.0,0.0,0,0,0.0,0,0.0,False,False,100,1.022970199584961,0.49753856658935547,1000,0.0,0.0,-0.023237464808820125
13,0.0,1000,False,-0.01547401025891304,0.003929318860173225,1.992532270378433e-05,1.942548155784607,0.00012189034168841317,0.004128618165850639,0.00123964746877944,0.0005404810806797945,0.0003473459651469011,0.0026631744393875957,0.002829045315834486,0.0,0.0,0.0,0.002029801020398736,0.0036580453161150217,-0.002029801020398736,-0.011233247816562653,0.00555352121591568,-0.01022264827042818,-0.0366470105946064,-0.003157094120979309,-1.9382129907608032,-2.0807077884674072,-1.7739654779434204,1.942548155784607,1.942009449005127,1.9429616928100586,1000,0,6,1.0,"139,143,190,142,127,140,119",0.0,0.0,0,0,0.0,0,0.0,False,False,100,1.0354238748550415,0.4853947162628174,1000,0.0,0.0,-0.022640275997288812
14,0.0,1000,False,-0.011225372552871704,0.008182319812476635,2.9865135729778558e-05,1.942651391029358,3.888007267960347e-05,0.005915067624300718,0.0020655367195326194,0.00024819202580962185,0.0003857087349614234,0.005367327822837815,0.0013049926669433337,0.0,0.0,0.0,0.004221322480589151,0.004522382747381926,-0.004221322480589151,-0.017609409987926483,0.00226747989654541,-0.00469962926581502,-0.03262259066104889,0.0023063495755195618,-1.9410271644592285,-2.075152635574341,-1.7764644622802734,1.942651391029358,1.9422332048416138,1.942975640296936,1000,0,6,1.0,"136,148,169,158,130,137,122",0.0,0.0,0,0,0.0,0,0.0,False,False,100,1.0142630338668823,0.4888114035129547,1000,0.0,0.0,-0.02182492575125902
15,0.24219999999999997,842,True,0.04972703754901886,0.06685245782136917,0.003904851386323571,1.9427947998046875,0.003501028986647725,0.04873353987932205,0.017961638803153813,0.0017229298225420588,0.004182487672591533,0.044383513018009794,0.007872707657926397,0.028758786618709564,5.168636926100589e-05,0.24220000207424164,0.034363456070423126,0.034363456070423126,-0.005604666657745838,-0.016192398965358734,0.0027313455939292908,0.0014919753884896636,-0.028677232563495636,0.008061513304710388,-1.944435954093933,-2.074265480041504,-1.7801179885864258,1.9427947998046875,1.9422610998153687,1.943114995956421,842,0,6,1.0,"115,126,132,121,104,137,107",0.0,0.24219999999999997,1,1,0.0011876484560570072,842,1.0,True,True,85,1.086686134338379,0.5162327885627747,842,0.016146666666666663,0.06666666666666667,-0.017054794864573827
