model_type,seed,action_mode,episode_id,episode_seed,step,reward,done,success,action,goal_updated,goal_age,goal_norm,goal_delta_l2,goal_cosine_prev,policy_entropy,top1_prob,chosen_action_prob,top1_action,action_changed_from_prev_step,hidden_norm,action_prob_kl_from_prev,top1_action_changed_on_goal_update,goal_vector,action_probs
baseline,1,argmax,1,1001,11,0.0,False,True,2,False,1,2.40547776222229,0.0,1.0000000488768623,1.3875608444213867,0.5528941750526428,0.5528941750526428,2,False,3.2592978477478027,,,"[-0.426877,0.79366,-0.013816,0.366318,-0.970052,-0.370693,-1.085323,-0.064931,1.112848,-0.053658,-0.279769,-0.721439,0.75169,0.113428,-0.359673,0.178729]","[0.00311462,0.03229019,0.55289418,0.10933045,0.12492176,0.09578311,0.0816657]"
baseline,1,argmax,1,1001,12,0.0,False,True,1,False,2,2.40547776222229,0.0,1.0000000488768623,0.6034884452819824,0.8721564412117004,0.8721564412117004,1,True,3.2592978477478027,,,"[-0.426877,0.79366,-0.013816,0.366318,-0.970052,-0.370693,-1.085323,-0.064931,1.112848,-0.053658,-0.279769,-0.721439,0.75169,0.113428,-0.359673,0.178729]","[0.00959477,0.87215644,0.01360242,0.0275054,0.02568887,0.02429757,0.02715452]"
baseline,1,argmax,1,1001,13,0.9874,True,True,2,False,3,2.40547776222229,0.0,1.0000000488768623,1.3193837404251099,0.5363542437553406,0.5363542437553406,2,True,3.2592978477478027,,,"[-0.426877,0.79366,-0.013816,0.366318,-0.970052,-0.370693,-1.085323,-0.064931,1.112848,-0.053658,-0.279769,-0.721439,0.75169,0.113428,-0.359673,0.178729]","[0.00131835,0.00139191,0.53635424,0.08711141,0.11140803,0.1849722,0.07744383]"
baseline,1,argmax,2,1002,0,0.0,False,True,0,True,0,1.5698381662368774,,,1.6934075355529785,0.3890529274940491,0.3890529274940491,0,,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.38905293,0.20641626,0.04422475,0.06762277,0.09035597,0.10750037,0.09482703]"
baseline,1,argmax,2,1002,1,0.0,False,True,2,False,1,1.5698381662368774,0.0,1.0000000319018423,1.3924713134765625,0.5496615767478943,0.5496615767478943,2,True,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.0167291,0.0094125,0.54966158,0.0968522,0.10972652,0.11231878,0.10529938]"
baseline,1,argmax,2,1002,2,0.0,False,True,0,False,2,1.5698381662368774,0.0,1.0000000319018423,1.235652208328247,0.6573552489280701,0.6573552489280701,0,True,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.65735525,0.07550985,0.02500506,0.03997715,0.05735251,0.07683301,0.06796715]"
baseline,1,argmax,2,1002,3,0.0,False,True,2,False,3,1.5698381662368774,0.0,1.0000000319018423,1.3780484199523926,0.5400039553642273,0.5400039553642273,2,True,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.00979571,0.00496522,0.54000396,0.09774723,0.11322697,0.13474201,0.0995189]"
baseline,1,argmax,2,1002,4,0.0,False,True,5,False,4,1.5698381662368774,0.0,1.0000000319018423,1.465456485748291,0.5482407808303833,0.5482407808303833,5,True,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.08172618,0.02781621,0.05757677,0.08416842,0.11497899,0.54824078,0.08549263]"
baseline,1,argmax,2,1002,5,0.0,False,True,2,False,5,1.5698381662368774,0.0,1.0000000319018423,1.383786678314209,0.5477309226989746,0.5477309226989746,2,True,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.01795004,0.00767459,0.54773092,0.11364811,0.10926046,0.07042461,0.13331132]"
baseline,1,argmax,2,1002,6,0.0,False,True,2,False,6,1.5698381662368774,0.0,1.0000000319018423,1.3017981052398682,0.575397253036499,0.575397253036499,2,False,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.00450358,0.00312464,0.57539725,0.11252943,0.10407074,0.10960314,0.09077123]"
