model_type,seed,action_mode,episode_id,episode_seed,step,reward,done,success,action,goal_updated,goal_age,goal_norm,goal_delta_l2,goal_cosine_prev,policy_entropy,top1_prob,chosen_action_prob,top1_action,action_changed_from_prev_step,hidden_norm,action_prob_kl_from_prev,top1_action_changed_on_goal_update,goal_vector,action_probs
ablation,11,sample,1,1011,0,0.0,False,True,0,True,0,1.270607590675354,,,1.817601203918457,0.27587324380874634,0.24247491359710693,1,,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.24247491,0.27587324,0.06773065,0.10231359,0.08848276,0.12059756,0.10252726]"
ablation,11,sample,1,1011,1,0.0,False,True,3,False,1,1.270607590675354,0.0,1.0000000802195055,1.818237066268921,0.30642446875572205,0.09555124491453171,1,False,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.20741282,0.30642447,0.10606809,0.09555124,0.09667613,0.07713013,0.11073708]"
ablation,11,sample,1,1011,2,0.0,False,True,6,False,2,1.270607590675354,0.0,1.0000000802195055,1.818237066268921,0.30642446875572205,0.11073707789182663,1,False,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.20741282,0.30642447,0.10606809,0.09555124,0.09667613,0.07713013,0.11073708]"
ablation,11,sample,1,1011,3,0.0,False,True,0,False,3,1.270607590675354,0.0,1.0000000802195055,1.818237066268921,0.30642446875572205,0.20741282403469086,1,False,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.20741282,0.30642447,0.10606809,0.09555124,0.09667613,0.07713013,0.11073708]"
ablation,11,sample,1,1011,4,0.0,False,True,6,False,4,1.270607590675354,0.0,1.0000000802195055,1.3314088582992554,0.5841511487960815,0.11896869540214539,2,True,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.02320253,0.01378273,0.58415115,0.11075822,0.10541295,0.04372366,0.1189687]"
ablation,11,sample,1,1011,5,0.0,False,True,2,False,5,1.270607590675354,0.0,1.0000000802195055,1.3314088582992554,0.5841511487960815,0.5841511487960815,2,False,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.02320253,0.01378273,0.58415115,0.11075822,0.10541295,0.04372366,0.1189687]"
ablation,11,sample,1,1011,6,0.0,False,True,1,False,6,1.270607590675354,0.0,1.0000000802195055,1.7378129959106445,0.3123604357242584,0.3123604357242584,1,True,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.27033377,0.31236044,0.04816832,0.08686557,0.07477325,0.11689691,0.09060174]"
ablation,11,sample,1,1011,7,0.0,False,True,6,False,7,1.270607590675354,0.0,1.0000000802195055,1.6142799854278564,0.4722495675086975,0.09213621914386749,1,False,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.13739853,0.47224957,0.09607808,0.07455146,0.07560156,0.05198459,0.09213622]"
ablation,11,sample,1,1011,8,0.0,False,True,0,False,8,1.270607590675354,0.0,1.0000000802195055,1.6142799854278564,0.4722495675086975,0.13739852607250214,1,False,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.13739853,0.47224957,0.09607808,0.07455146,0.07560156,0.05198459,0.09213622]"
ablation,11,sample,1,1011,9,0.0,False,True,1,False,9,1.270607590675354,0.0,1.0000000802195055,1.7378129959106445,0.3123604357242584,0.3123604357242584,1,False,0.0,,,"[0.220298,0.570144,0.657438,0.532541,0.24569,0.155273,0.032029,-0.210978,-0.068676,-0.02576,-0.328354,0.028448,0.333408,-0.408769,-0.051984,0.007305]","[0.27033377,0.31236044,0.04816832,0.08686557,0.07477325,0.11689691,0.09060174]"
